x,y,z,vx,vy,vz
-355097409.2241023,124118152.867092,69113199.56610706,-6.453004318053386,-18.25402141755475,0.6278447736893762
-355651790.7686765,122539900.1636502,69166829.33312012,-6.379884035034716,-18.27955127439519,0.6135834306759955
-356199850.1379769,120959455.8665019,69219226.5131388,-6.306657940317455,-18.30475267236197,0.5993127199909631
-356741578.260443,119376848.3753399,69270390.31044587,-6.233327667894316,-18.32962513060472,0.585032957620494
-357276966.2057992,117792106.1309626,69320319.95663145,-6.159894854240349,-18.35416817845296,0.5707444596922953
-357806005.1852658,116205257.614394,69369014.71060467,-6.086361138237031,-18.37838135543151,0.5564475424610587
-358328686.5517638,114616331.3460025,69416473.85860406,-6.012728161096305,-18.40226421127527,0.5421425222940011
-358845001.8001123,113025355.8846174,69462696.71420664,-5.938997566284629,-18.42581630594312,0.5278297156564209
-359354942.5672213,111432359.8266456,69507682.6183357,-5.865170999446937,-18.44903720963109,0.5135094390972901
-359858500.6322756,109837371.8051863,69551430.93926746,-5.791250108330609,-18.47192650278488,0.4991820092348913
-360355667.9169132,108240420.4891452,69593941.0726365,-5.717236542709402,-18.49448377611145,0.4848477427424687
-360846436.4853979,106641534.582347,69635212.44143976,-5.643131954307349,-18.51670863058992,0.4705069563339164
-361330798.5447834,105040742.8226477,69675244.49603951,-5.568937996722632,-18.53860067748174,0.4561599667494942
-361808746.4450728,103438073.9810458,69714036.71416509,-5.494656325351451,-18.56015953833999,0.4418070907415776
-362280272.6793706,101833556.8607928,69751588.60091309,-5.420288597311901,-18.58138484501805,0.4274486450604194
-362745369.8840272,100227220.2965027,69787899.68874687,-5.34583647136755,-18.60227623967734,0.4130849464399518
-363204030.8387793,98619093.15326127,69822969.53749435,-5.271301607851582,-18.62283337479449,0.3987163115836321
-363656248.4668811,97009204.32573438,69856797.73434477,-5.1966856685904,-18.64305591316759,0.3843430571502715
-364102015.8352305,95397582.73727605,69889383.89384425,-5.121990316827346,-18.66294352792178,0.3699654997399229
-364541326.1544877,93784257.33903608,69920727.65789016,-5.047217217146537,-18.682495902514,0.3555839558797871
-364974172.7791886,92169257.109067,69950828.69572408,-4.972368035396961,-18.70171273073742,0.341198742010147
-365400549.2078502,90552611.05143104,69979686.70392393,-4.897444438614832,-18.72059371672355,0.3268101744702863
-365820449.08307,88934348.19530669,70007301.40639424,-4.822448094949499,-18.73913857494655,0.3124185694845263
-366233866.1916189,87314497.59409502,70033672.55435607,-4.74738067358606,-18.75734703022421,0.2980242431482036
-366640794.4645273,85693088.32452603,70058799.92633495,-4.672243844668941,-18.77521881771856,0.2836275114137061
-367041227.977165,84070149.48576471,70082683.32814796,-4.597039279226163,-18.79275368293701,0.2692286900765346
-367435160.9493139,82445710.19851749,70105322.59288977,-4.521768649093111,-18.80995138173286,0.2548280947613053
-367822587.7452345,80819799.60413793,70126717.58091703,-4.446433626836676,-18.82681168030009,0.2404260409081989
-368203502.8737264,79192446.86373386,70146868.17983198,-4.371035885678803,-18.8433343551773,0.2260228437586491
-368577900.9881804,77563681.15727338,70165774.30446462,-4.295577099419841,-18.85951919324267,0.2116188183416323
-368945776.8866268,75933531.6826919,70183435.89685386,-4.220058942365463,-18.87536599170872,0.1972142794603267
-369307125.5117741,74302027.65499915,70199852.92622726,-4.144483089246388,-18.89087455812191,0.1828095416776403
-369661941.951044,72669198.30538672,70215025.38897978,-4.068851215146054,-18.90604471035543,0.1684049193030317
-370010221.4365974,71035072.88033599,70228953.30865125,-3.993164995424401,-18.92087627660462,0.1540007263787002
-370351959.3453555,69399680.64072654,70241636.73590277,-3.917426105640917,-18.93536909538155,0.1395972766657581
-370687151.1990139,67763050.86094508,70253075.74849172,-3.841636221479202,-18.94952301550812,0.1251948836306331
-371015792.66405,66125212.82799498,70263270.45124573,-3.765797018672059,-18.96333789610832,0.1107938604315688
-371337879.5517238,64486195.84060658,70272220.9760356,-3.689910172926688,-18.97681360659975,0.0963945199051377
-371653407.8180727,62846029.2083481,70279927.4817467,-3.613977359849235,-18.98995002668531,0.08199717455268196
-371962373.5638993,61204742.2507375,70286390.15424964,-3.538000254868459,-19.00274704634406,0.06760213652669655
-372264773.0347525,59562364.29635492,70291609.20636941,-3.461980533160915,-19.01520456582115,0.05320971761740534
-372560602.6209038,57918924.68195629,70295584.87785359,-3.385919869576672,-19.02732249561651,0.03882022923948281
-372849858.8573141,56274452.7515877,70298317.43533923,-3.309819938566501,-19.03910075647244,0.02443398241892947
-373132538.4235972,54628977.85570101,70299807.17231877,-3.233682414102941,-19.05053927936473,0.01005128777912834
-373408638.143975,52982529.35027004,70300054.40910469,-3.157508969609161,-19.06163800548746,-0.004327544471926181
-373678154.9872262,51335136.59590925,70299059.4927929,-3.081301277883169,-19.07239688623608,-0.01870220455466765
-373941086.0666304,49686828.95699094,70296822.79722545,-3.005061011031194,-19.08281588320918,-0.03307238313172789
-374197428.6399035,48037635.80076654,70293344.72295138,-2.928789840373087,-19.09289496816633,-0.04743777132065485
-374447180.1091281,46387586.49648795,70288625.6971872,-2.85248943639639,-19.10263412303531,-0.06179806070623695
