x,y,z,vx,vy,vz
143002031.6006377,-60750036.29011297,-12120589.44599305,16.84780571453236,16.9828588118629,-1.893367845008425
144438978.2159882,-59274994.96401244,-12282592.02804755,16.41520651422632,17.16043670045813,-1.85670221913168
145838640.8983055,-57784913.8658399,-12441429.38221479,15.98474657221864,17.33103381218433,-1.820098831337671
147201203.1282679,-56280387.93725026,-12597106.92047275,15.55639438734256,17.4948384111585,-1.783558432974108
148526845.609736,-54761996.23437577,-12749630.10717819,15.13011721152624,17.65203002509442,-1.747081489245124
149815746.1692711,-53230302.66450989,-12899004.43537059,14.705881214777,17.80277986106702,-1.710668202628953
151068079.6691899,-51685856.68792892,-13045235.40501191,14.2836516338092,17.94725119700025,-1.674318534304592
152284017.9328114,-50129193.98688434,-13188328.50299796,13.86339290588824,18.0855997503478,-1.63803222376198
153463729.6806805,-48560837.10367685,-13328289.18479143,13.4450687893076,18.21797402534333,-1.601808806754002
154607380.4766695,-46981296.04960688,-13465122.85753951,13.02864247177599,18.34451564010756,-1.565647631733892
155715132.6829648,-45391068.88648969,-13598834.86455104,12.61407666786662,18.4653596348164,-1.529547874908425
156787145.4230379,-43790642.28232208,-13729430.4710187,12.20133370656835,18.58063476205667,-1.493508554025319
157823574.5517868,-42180492.04259367,-13856914.85088177,11.7903756098777,18.69046376042197,-1.457528541002492
158824572.6321131,-40561083.61864796,-13981293.07473345,11.38116416328021,18.79496361233277,-1.421606573497051
159790288.9172646,-38932872.59441581,-14102570.09868529,10.97366097888825,18.89424578700024,-1.385741265503211
160720869.3383422,-37296305.15276752,-14220750.75410824,10.56782755192959,18.98841646939302,-1.3499311170602
161616456.4964218,-35651818.52265786,-14335839.73817663,10.16362531121463,19.07757677600944,-1.314174523144146
162477189.6587988,-33999841.40817107,-14447841.60514776,9.761015664152286,19.16182295820497,-1.278469781811369
163303204.7589033,-32340794.40051071,-14556760.75831478,9.359960036828861,19.24124659377505,-1.242815101654569
164094634.3994833,-30675090.37392041,-14662601.4425763,8.960419909619384,19.31593476744715,-1.207208608628068
164851607.8586867,-29003134.86646703,-14765367.73757024,8.562356848755813,19.385970240892,-1.171648352293539
165574251.0987099,-27325326.44656707,-14865063.55132393,8.165732534235259,19.45143161282557,-1.136132311532731
166262686.7767123,-25642057.06608896,-14961692.61437646,7.77050878442244,19.51239346973133,-1.100658399770586
166917034.2577259,-23953712.40082028,-15055258.47433241,7.376647577662622,19.56892652770091,-1.065224469747599
167537409.629313,-22260672.1790467,-15145764.49080989,6.984111071195176,19.62109776585569,-1.029828317877412
168123925.7177506,-20563310.49895149,-15233213.83074821,6.592861617632819,19.66897055178125,-0.994467688223164
168676692.1055437,-18861996.13550785,-15317609.46404393,6.202861779245803,19.71260475937734,-0.9591402761212766
169195815.1500842,-17157092.83750305,-15398954.1594856,5.814074340271813,19.75205687949871,-0.9238437314822585
169681398.0032963,-15448959.61530197,-15477250.48096071,5.426462317457819,19.78738012373508,-0.8885756617930376
170133540.6321233,-13737951.01992875,-15552500.78391005,5.039988969002505,19.81862452165865,-0.8533336348436782
170552339.8397231,-12024417.41401732,-15624707.21200649,4.654617802084676,19.84583701183837,-0.8181151812010761
170937889.2872593,-10308705.2351575,-15693871.69403726,4.270312579123086,19.86906152690349,-0.7829177964488343
171290279.5161839,-8591157.252139097,-15759995.94097036,3.887037322908938,19.88833907291822,-0.7477389432114743
171609597.9709176,-6872112.814575166,-15823081.44318708,3.504756320746222,19.90370780330938,-0.7125760529802907
171895929.0218522,-5151908.096364909,-15883129.46786441,3.123434127713246,19.91520308757002,-0.6774265277555234
172149353.9885983,-3430876.333438897,-15940141.05649175,2.743035569164805,19.92285757494774,-0.6422877415202644
172369951.1634218,-1709348.056211263,-15994117.02250828,2.363525742573403,19.92670125330837,-0.6071570415587253
172557795.8348131,12348.68285187613,-16045057.94904797,1.984870018805478,19.92676150335102,-0.572031749631309
172712960.3111468,1733888.08615322,-16092964.18678023,1.607034042923224,19.92306314833616,-0.5369091630180138
172835513.9443921,3454946.391993119,-16137835.85183555,1.22998373459695,19.91562849947393,-0.50178655544092
172925523.1538452,5175201.659337382,-16179672.8238059,0.8536852882032971,19.90447739710845,-0.4666611778755003
172983051.4498596,6894333.555966207,-16218474.74381076,0.4781051726890667,19.88962724781855,-0.4315302592604127
173008159.4575568,8612023.149656218,-16254241.01262045,0.1032101312670013,19.87109305754574,-0.3963910071142553
173000904.9405057,10327952.70205671,-16286970.78882897,-0.2710328189871399,19.84888746084672,-0.3612406080676331
172961342.8243657,12041805.46492902,-16316662.98706952,-0.6446563875731071,19.82302074635882,-0.3260762283181053
172889525.2204926,13753265.47842529,-16343316.27626615,-1.017693010974954,19.79350087855034,-0.2908950140159563
172785501.4495118,15462017.37108844,-16366929.0779161,-1.390174852984919,19.76033351582666,-0.2556940915867525
172649318.0648704,17167746.1612609,-16387499.56439742,-1.762133804881018,19.72352202504258,-0.2204705679979577
172481018.8763821,18870137.05959411,-16405025.65729755,-2.133601485402931,19.68306749246941,-0.1852215309753831
172280644.9737836,20568875.27235269,-16419505.02575856,-2.504609240469271,19.63896873125034,-0.1499440491757307
172048234.7503311,22263645.80521356,-16430935.08483564,-2.875188142584757,19.59122228538033,-0.1146351723189962
171783823.92646,23954133.26725865,-16439312.99386526,-3.245368989866095,19.539822430209,-0.07929193129094081
171487445.5735512,25640021.67486093,-16444635.6548416,-3.615182304663735,19.48476116951037,-0.04391133821155258
171159130.1378338,27320994.25516969,-16446899.71079718,-3.984658331673804,19.42602822910586,-0.008490386483422263
170798905.4644747,28996733.24889662,-16446101.54418693,-4.353827035486744,19.36361104698203,0.02697394917095597
170406796.8219088,30666919.71209413,-16442237.2752756,-4.722718097547918,19.29749476003782,0.06248471269837896
169982826.9264586,32331233.31664304,-16435302.76052499,-5.091360912392303,19.22766218724344,0.09804496669621621
169527015.9673131,33989352.14912816,-16425293.59098336,-5.459784583120053,19.15409380927727,0.1336577923955549
169039381.6319342,35640952.50780287,-16412205.09067645,-5.828017916013643,19.07676774460934,0.1693262896372874
168519939.1319666,37285708.6973299,-16396032.31500104,-6.1960894142354,18.99565972193488,0.2050535768358035
167968701.2297367,38923292.82097921,-16376770.04912277,-6.564027270501987,18.91074304886055,0.2408427909140656
167385678.26543,40553374.56995738,-16354412.8063807,-6.93185935866541,18.82198857680948,0.2766970872131331
166770878.1850483,42175621.00953797,-16328954.82670118,-7.299613224093307,18.72936466205012,0.3126196393649847
166124306.5692517,43789696.36165323,-16300390.07502462,-7.667316072773406,18.6328371227246,0.3486136391217487
165445966.6632006,45395261.78359687,-16268712.23974892,-8.034994759018558,18.53236919179059,0.3846822961338328
164735859.4075278,46991975.14247946,-16233914.73119505,-8.402675771654527,18.42792146575016,0.4208288376676288
163993983.4705684,48579490.78506883,-16195990.68009929,-8.770385218609569,18.31945184904209,0.4570565082584528
163220335.2820007,50157459.30263147,-16154932.93613927,-9.13814880969828,18.20691549392641,0.4933685692798608
162414909.0680539,51725527.29038144,-16110734.06650077,-9.505991837521886,18.09026473574377,0.529768298428138
161577696.8884543,53283337.10112891,-16063386.35449322,-9.873939156303042,17.96944902335613,0.5662589891062852
160708688.6752952,54830526.59270394,-16012881.79822338,-10.24201515847693,17.84441484457952,0.6028439496939875
159807872.274034,56366728.86871413,-15959212.10933734,-10.61024374885716,17.71510564641277,0.639526502690674
158875233.4868316,57891572.01217764,-15902368.71184267,-10.97864831618127,17.58146174984589,0.6763099837175615
157910756.1184722,59404678.81155294,-15842342.74102335,-11.3472517018244,17.44342025901108,0.7131977403632748
156914422.0251164,60905666.47866576,-15779125.04246189,-11.71607616544357,17.30091496442051,0.7501931308554948
155886211.1661647,62394146.35801026,-15712706.17118431,-12.08514334729442,17.15387624001271,0.7872995225396648
154826101.6595302,63869723.62687731,-15643076.39094573,-12.45447422694447,17.00223093371629,0.8245202901452497
153734069.840645,65331996.98573595,-15570225.67367554,-12.82408907809302,16.84590225121777,0.8618588138194134
152610090.3255486,66780558.33826722,-15494143.69910329,-13.19400741920667,16.68480963260054,0.8993184769089808
151454136.0784357,68214992.46041772,-15414819.85458808,-13.56424795955431,16.518868621469,0.9369026634582482
150266178.4840787,69634876.65780817,-15332243.23517722,-13.93482854033845,16.34799072621045,0.974614755406713
149046187.4255624,71039780.41080005,-15246402.64392104,-14.30576607047319,16.17208327295666,1.012458129452716
147794131.3678143,72429265.00648439,-15157286.59247408,-14.67707645658125,15.99104924982748,1.050436153555423
146509977.4474507,73802883.15682003,-15064883.3020154,-15.04877452672237,15.80478714199374,1.088552183041279
145193691.5695022,75160178.60210755,-14969180.70452369,-15.42087394732601,15.61319075707781,1.126809556278399
143845238.5116305,76500685.698942,-14870166.44444614,-15.79338713274772,15.41614904038121,1.165211589877646
142464582.0365002,77823928.99174267,-14767827.88080421,-16.1663251468105,15.21354587940102,1.203761573373866
141051685.0130305,79129422.76690994,-14662152.08978312,-16.53969759562744,15.00525989706686,1.242462763334668
139606509.547309,80416670.588609,-14553125.86785723,-16.91351251092821,14.79116423309682,1.28131837683693
138129017.1240295,81685164.81512667,-14440735.73550884,-17.28777622303002,14.57112631283481,1.32033158424324
136619168.7593839,82934386.09469068,-14324967.94160398,-17.6624932225035,14.3450076028907,1.359505501201742
135076925.1664339,84163802.83958033,-14205808.4684961,-18.0376660094847,14.11266335286091,1.398843179783338
133502246.9340758,85372870.67729287,-14083243.03793613,-18.41329492947687,13.8739423223582,1.438347598660433
131895094.7208215,86561031.8774612,-13957257.11787635,-18.78937799436871,13.62868649252727,1.47802165222086
130255429.4647324,87727714.7531448,-13827835.93026489,-19.16591068726948,13.376730761168,1.517868138499875
128583212.6109686,88872333.0350378,-13694964.45993873,-19.54288574962114,13.11790262052882,1.557889745801357
