x,y,z,vx,vy,vz
98186389.02574329,-88529027.37360395,-7357603.642254777,27.51965628937067,10.27549961519492,-2.753639513166729
100543169.1374467,-87622862.81281897,-7593956.503374923,27.03570324152727,10.69792068242637,-2.717462909847083
102858206.3132045,-86680868.93955113,-7827176.662348777,26.55340809578433,11.10498442423867,-2.681127515354444
105131649.5928854,-85704346.4979051,-8057251.466817386,26.07290179669808,11.4972904230799,-2.644657626221359
107363658.5176754,-84694545.76407667,-8284170.261364646,25.59429682147817,11.87540762241863,-2.608075208333878
109554401.6184402,-83652669.12040208,-8507924.195399854,25.11768908824092,12.23987600518222,-2.571400107532384
111704055.0602645,-82579873.48825622,-8728506.04835302,24.64315966672686,12.59120818311745,-2.534650240127555
113812801.427037,-81477272.62738428,-8945910.070536632,24.17077631267393,12.9298908997165,-2.497841765346279
115880828.6316716,-80345939.30900562,-9160131.838191636,23.70059484467554,13.25638644977168,-2.460989241512682
117908328.939095,-79186907.36975048,-9371168.121383693,23.23266038027631,13.57113401889902,-2.42410576758355
119895498.0904942,-78001173.65319239,-9579016.763548393,22.76700844618321,13.87455094655427,-2.387203111486347
121842534.5185302,-76789699.84543192,-9783676.571601719,22.30366597585599,14.16703391614229,-2.350291826561596
123749638.6443087,-75553414.21087381,-9985147.215639926,21.84265220627055,14.44896007584911,-2.313381357274176
125617012.2478567,-74293213.23402697,-10183429.13734722,21.38397948436554,14.72068809379815,-2.276480135239059
127444857.904717,-73009963.17284891,-10378523.46631569,20.92765399253744,14.98255915106248,-2.239595666499274
129233378.4820314,-71704501.52885441,-10570431.94355897,20.47367640154182,15.23489787596749,-2.202734610898462
130982776.6881702,-70377638.43891668,-10759156.85156957,20.022042458253,15.47801322300518,-2.165902854304719
132693254.6705725,-69030157.99340786,-10944700.95033225,19.572743514939,15.71219929954855,-2.129105574365252
134365013.6570055,-67662819.48505592,-11127067.41876148,19.12576700599382,15.93773614341956,-2.092347300403552
135998253.6359365,-66276358.59263781,-11306259.80108082,18.68109687744162,16.15489045421592,-2.055631968008846
137593173.0721481,-64871488.50338357,-11482281.95770771,18.23871397396477,16.36391628115685,-2.018962968813829
139149968.6541109,-63448900.97773439,-11655138.02024736,17.79859638771723,16.56505567006355,-1.98234319590739
140668835.0699826,-62009267.35987746,-11824832.35023634,17.360719772717,16.75853927194989,-1.945775085283382
142149964.8094079,-60553239.53727137,-11991369.50130933,16.92505762824394,16.94458691555631,-1.909260653689453
143593547.9885739,-59081450.85218611,-12154754.18449245,16.49158155429222,17.12340814600221,-1.872801533204484
144999772.1962337,-57594516.96808688,-12314991.23635341,16.06026148185022,17.29520273168405,-1.836399002838053
146368822.3586239,-56093036.69352894,-12472085.589763,15.63106588041362,17.46016114127127,-1.800054017421269
147700880.6214111,-54577592.76606216,-12626042.24704458,15.20396194501656,17.61846499269508,-1.7637672340314
148996126.2469846,-53048752.59849185,-12776866.25530796,14.77891576473897,17.77028747582306,-1.72753903616747
150254735.5255735,-51507068.9896995,-12924562.68378215,14.35589247446771,17.91579375039998,-1.691369555875547
151476881.6988096,-49953080.8020957,-13069136.60297771,13.93485639154582,18.05514132077063,-1.655258694004064
152662734.8944994,-48387313.60764915,-13210593.06552433,13.51577113874847,18.18848038878055,-1.619206138751492
153812462.0714754,-46810280.30431926,-13348937.08854239,13.09859975491666,18.31595418618315,-1.583211382654897
154926226.9735183,-45222481.7046103,-13484173.63741999,12.68330479439374,18.43769928777978,-1.547273738150543
156004190.0914237,-43624407.09786103,-13616307.61087712,12.26984841636463,18.55384590642568,-1.511392351832863
